Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","80.96","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","736","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","51.57","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","7","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","0","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","6","S","Standardized data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","249","Fc","Calculated data"
"FBS","Food Balances (2010-)","8","Antigua and Barbuda","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","18.98","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","5511","Production","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5611","Import Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5911","Export Quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5301","Domestic supply quantity","2901","Grand Total","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2901","Grand Total","2018","2018","kcal/capita/day","3307","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2018","2018","g/capita/day","108.49","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","5511","Production","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5611","Import Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5911","Export Quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","5301","Domestic supply quantity","2941","Animal Products","2018","2018","","","",""
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2941","Animal Products","2018","2018","kcal/capita/day","1045","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2018","2018","g/capita/day","69.84","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","5511","Production","2734","Poultry Meat","2018","2018","1000 tonnes","2115","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","5611","Import Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","13","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","5911","Export Quantity","2734","Poultry Meat","2018","2018","1000 tonnes","165","Im","FAO data based on imputation methodology"
"FBS","Food Balances (2010-)","9","Argentina","5301","Domestic supply quantity","2734","Poultry Meat","2018","2018","1000 tonnes","1963","S","Standardized data"
"FBS","Food Balances (2010-)","9","Argentina","664","Food supply (kcal/capita/day)","2734","Poultry Meat","2018","2018","kcal/capita/day","190","Fc","Calculated data"
"FBS","Food Balances (2010-)","9","Argentina","674","Protein supply quantity (g/capita/day)","2734","Poultry Meat","2018","2018","g/capita/day","14.18","Fc","Calculated data"
